Sample,Receiver,Target_Cliff_dB,Baseline_SINR_dB,True_SINR_dB,True_Margin_dB,Pred_SINR_dB,Pred_Margin_dB,True_P2_Sum,Pred_P2_Sum,Crash_Flag
9,3,20.0,47.94,22.92,2.92,22.92,2.92,17,17,0
10,1,20.0,45.65,27.77,7.77,30.71,10.71,2,1,0
10,2,20.0,47.81,20.39,0.39,23.39,3.39,2,1,0
10,3,20.0,41.89,25.65,5.65,28.56,8.56,2,1,0
11,1,20.0,43.66,20.36,0.36,20.36,0.36,4,4,0
11,2,20.0,39.44,24.61,4.61,24.61,4.61,4,4,0
11,3,20.0,44.25,25.72,5.72,25.72,5.72,4,4,0
12,1,20.0,47.97,28.76,8.76,28.76,8.76,5,5,0
12,2,20.0,40.02,20.04,0.04,20.04,0.04,5,5,0
12,3,20.0,46.67,27.58,7.58,27.58,7.58,5,5,0
13,1,20.0,42.43,42.43,22.43,28.01,8.01,0,1,0
13,2,20.0,46.34,46.34,26.34,34.5,14.5,0,1,0
13,3,20.0,45.25,45.25,25.25,19.94,-0.06,0,1,1
14,1,20.0,38.1,20.41,0.41,17.44,-2.56,3,6,1
14,2,20.0,43.28,25.94,5.94,22.97,2.97,3,6,0
14,3,20.0,46.1,25.49,5.49,22.5,2.5,3,6,0
15,1,20.0,47.1,31.86,11.86,21.57,1.57,1,11,0
15,2,20.0,38.24,22.07,2.07,11.75,-8.25,1,11,1
15,3,20.0,43.77,29.83,9.83,19.58,-0.42,1,11,1
16,1,20.0,41.34,41.34,21.34,25.79,5.79,0,1,0
16,2,20.0,45.42,45.42,25.42,19.53,-0.47,0,1,1
16,3,20.0,40.11,40.11,20.11,28.92,8.92,0,1,0
17,1,20.0,43.37,20.64,0.64,23.63,3.63,4,2,0
17,2,20.0,47.52,32.02,12.02,34.91,14.91,4,2,0
17,3,20.0,40.03,20.96,0.96,23.92,3.92,4,2,0
18,1,20.0,44.77,25.48,5.48,25.48,5.48,9,9,0
18,2,20.0,47.48,28.99,8.99,28.99,8.99,9,9,0
18,3,20.0,41.22,20.4,0.4,20.4,0.4,9,9,0
19,1,20.0,43.04,22.07,2.07,22.07,2.07,4,4,0
19,2,20.0,43.68,29.71,9.71,29.71,9.71,4,4,0
19,3,20.0,39.14,20.83,0.83,20.83,0.83,4,4,0
20,1,20.0,42.47,26.31,6.31,26.31,6.31,1,1,0
20,2,20.0,43.93,20.89,0.89,20.89,0.89,1,1,0
20,3,20.0,43.95,29.9,9.9,29.9,9.9,1,1,0
21,1,20.0,42.91,25.75,5.75,25.75,5.75,8,8,0
21,2,20.0,40.34,20.09,0.09,20.09,0.09,8,8,0
21,3,20.0,46.4,26.97,6.97,26.97,6.97,8,8,0
22,1,20.0,43.37,24.02,4.02,27.63,7.63,7,3,0
22,2,20.0,46.66,25.32,5.32,28.96,8.96,7,3,0
22,3,20.0,39.96,20.55,0.55,24.17,4.17,7,3,0
23,1,20.0,45.97,45.97,25.97,15.01,-4.99,0,1,1
23,2,20.0,39.52,39.52,19.52,13.67,-6.33,0,1,1
23,3,20.0,41.66,41.66,21.66,27.15,7.15,0,1,0
24,1,20.0,47.88,29.68,9.68,34.32,14.32,3,1,0
24,2,20.0,40.07,20.82,0.82,25.49,5.49,3,1,0
24,3,20.0,44.29,30.84,10.84,35.24,15.24,3,1,0
25,1,20.0,39.81,39.81,19.81,25.09,5.09,0,1,0
25,2,20.0,39.26,39.26,19.26,9.82,-10.18,0,1,1
25,3,20.0,44.94,44.94,24.94,33.44,13.44,0,1,0
26,1,20.0,42.08,26.72,6.72,22.54,2.54,3,8,0
26,2,20.0,39.45,20.2,0.2,15.97,-4.03,3,8,1
26,3,20.0,44.31,27.53,7.53,23.33,3.33,3,8,0
27,1,20.0,40.86,20.83,0.83,17.84,-2.16,3,6,1
27,2,20.0,46.55,25.36,5.36,22.37,2.37,3,6,0
27,3,20.0,44.77,28.25,8.25,25.28,5.28,3,6,0
28,1,20.0,44.95,27.97,7.97,32.57,12.57,3,1,0
28,2,20.0,44.72,20.89,0.89,25.63,5.63,3,1,0
28,3,20.0,40.44,21.17,1.17,25.84,5.84,3,1,0
29,1,20.0,38.88,20.23,0.23,20.23,0.23,6,6,0
29,2,20.0,41.64,24.99,4.99,24.99,4.99,6,6,0
29,3,20.0,41.74,21.09,1.09,21.09,1.09,6,6,0
30,1,20.0,44.06,21.24,1.24,21.24,1.24,3,3,0
30,2,20.0,47.71,29.27,9.27,29.27,9.27,3,3,0
30,3,20.0,47.76,34.48,14.48,34.48,14.48,3,3,0
31,1,20.0,40.09,26.45,6.45,29.28,9.28,2,1,0
31,2,20.0,41.7,21.66,1.66,24.63,4.63,2,1,0
31,3,20.0,39.43,26.42,6.42,29.22,9.22,2,1,0
32,1,20.0,42.69,20.6,0.6,13.22,-6.78,2,11,1
32,2,20.0,38.15,21.8,1.8,14.48,-5.52,2,11,1
32,3,20.0,46.6,23.67,3.67,16.29,-3.71,2,11,1
33,1,20.0,39.29,28.96,8.96,18.93,-1.07,1,11,1
33,2,20.0,38.88,22.77,2.77,12.45,-7.55,1,11,1
33,3,20.0,43.12,24.35,4.35,13.99,-6.01,1,11,1
34,1,20.0,39.54,21.34,1.34,21.34,1.34,1,1,0
34,2,20.0,47.7,31.51,11.51,31.51,11.51,1,1,0
34,3,20.0,43.24,29.29,9.29,29.29,9.29,1,1,0
35,1,20.0,38.28,38.28,18.28,12.54,-7.46,0,1,1
35,2,20.0,39.1,39.1,19.1,29.31,9.31,0,1,0
35,3,20.0,41.01,41.01,21.01,29.36,9.36,0,1,0
36,1,20.0,46.87,20.27,0.27,20.27,0.27,13,13,0
36,2,20.0,47.46,27.64,7.64,27.64,7.64,13,13,0
36,3,20.0,43.68,21.65,1.65,21.65,1.65,13,13,0
37,1,20.0,38.5,20.03,0.03,25.87,5.87,4,1,0
37,2,20.0,46.35,28.03,8.03,33.87,13.87,4,1,0
37,3,20.0,38.62,22.85,2.85,28.53,8.53,4,1,0
38,1,20.0,42.07,22.47,2.47,16.49,-3.51,1,4,1
38,2,20.0,47.66,36.07,16.07,30.29,10.29,1,4,0
38,3,20.0,38.06,22.01,2.01,16.07,-3.93,1,4,1
39,1,20.0,38.54,38.54,18.54,27.36,7.36,0,1,0
39,2,20.0,38.93,38.93,18.93,12.53,-7.47,0,1,1
39,3,20.0,40.52,40.52,20.52,27.84,7.84,0,1,0
40,1,20.0,46.19,20.24,0.24,28.63,8.63,7,1,0
40,2,20.0,45.88,23.44,3.44,31.74,11.74,7,1,0
40,3,20.0,44.42,23.96,3.96,32.18,12.18,7,1,0
41,1,20.0,45.37,45.37,25.37,24.67,4.67,0,1,0
41,2,20.0,42.2,42.2,22.2,10.03,-9.97,0,1,1
41,3,20.0,44.8,44.8,24.8,32.9,12.9,0,1,0
42,1,20.0,38.72,38.72,18.72,28.88,8.88,0,1,0
42,2,20.0,39.18,39.18,19.18,19.49,-0.51,0,1,1
42,3,20.0,46.34,46.34,26.34,28.26,8.26,0,1,0
43,1,20.0,39.23,21.48,1.48,21.48,1.48,1,1,0
43,2,20.0,46.74,33.6,13.6,33.6,13.6,1,1,0
43,3,20.0,42.72,29.73,9.73,29.73,9.73,1,1,0
44,1,20.0,43.85,43.85,23.85,25.46,5.46,0,1,0
44,2,20.0,40.01,40.01,20.01,15.81,-4.19,0,1,1
44,3,20.0,41.46,41.46,21.46,27.96,7.96,0,1,0
45,1,20.0,44.97,44.97,24.97,29.94,9.94,0,1,0
45,2,20.0,40.34,40.34,20.34,22.88,2.88,0,1,0
45,3,20.0,40.61,40.61,20.61,16.77,-3.23,0,1,1
46,1,20.0,42.56,21.75,1.75,14.37,-5.63,2,11,1
46,2,20.0,42.87,27.74,7.74,20.44,0.44,2,11,0
46,3,20.0,40.31,26.1,6.1,18.84,-1.16,2,11,1
47,1,20.0,46.06,36.64,16.64,31.01,11.01,1,4,0
47,2,20.0,38.98,23.6,3.6,17.68,-2.32,1,4,1
47,3,20.0,45.85,20.62,0.62,14.61,-5.39,1,4,1
48,1,20.0,45.19,45.19,25.19,32.59,12.59,0,1,0
48,2,20.0,40.91,40.91,20.91,18.8,-1.2,0,1,1
48,3,20.0,46.58,46.58,26.58,26.29,6.29,0,1,0
49,1,20.0,40.78,20.55,0.55,20.55,0.55,11,11,0
49,2,20.0,43.09,20.29,0.29,20.29,0.29,11,11,0
49,3,20.0,46.74,25.57,5.57,25.57,5.57,11,11,0
50,1,20.0,47.36,26.56,6.56,20.94,0.94,3,11,0
50,2,20.0,41.63,20.07,0.07,14.45,-5.55,3,11,1
50,3,20.0,45.87,23.34,3.34,17.71,-2.29,3,11,1
51,1,20.0,44.57,44.57,24.57,26.77,6.77,0,1,0
51,2,20.0,38.72,38.72,18.72,18.57,-1.43,0,1,1
51,3,20.0,47.02,47.02,27.02,33.31,13.31,0,1,0
52,1,20.0,44.85,44.85,24.85,17.64,-2.36,0,1,1
52,2,20.0,46.56,46.56,26.56,32.69,12.69,0,1,0
52,3,20.0,45.85,45.85,25.85,31.19,11.19,0,1,0
53,1,20.0,42.87,20.07,0.07,21.47,1.47,18,13,0
53,2,20.0,43.58,20.76,0.76,22.16,2.16,18,13,0
53,3,20.0,47.72,22.77,2.77,24.18,4.18,18,13,0
54,1,20.0,42.9,22.95,2.95,22.95,2.95,10,10,0
54,2,20.0,43.91,20.33,0.33,20.33,0.33,10,10,0
54,3,20.0,44.86,24.3,4.3,24.3,4.3,10,10,0
55,1,20.0,46.3,21.01,1.01,21.01,1.01,3,3,0
55,2,20.0,44.88,31.83,11.83,31.83,11.83,3,3,0
55,3,20.0,43.2,27.02,7.02,27.02,7.02,3,3,0
56,1,20.0,45.7,26.33,6.33,18.97,-1.03,2,11,1
56,2,20.0,40.63,28.17,8.17,20.98,0.98,2,11,0
56,3,20.0,43.85,21.73,1.73,14.35,-5.65,2,11,1
57,1,20.0,40.38,23.51,3.51,22.29,2.29,3,4,0
57,2,20.0,44.54,25.63,5.63,24.4,4.4,3,4,0
57,3,20.0,40.61,20.98,0.98,19.74,-0.26,3,4,1
58,1,20.0,45.63,28.7,8.7,26.97,6.97,4,6,0
58,2,20.0,40.44,25.87,5.87,24.16,4.16,4,6,0
58,3,20.0,40.19,20.7,0.7,18.96,-1.04,4,6,1
59,1,20.0,41.8,23.19,3.19,23.19,3.19,5,5,0
59,2,20.0,40.86,20.32,0.32,20.32,0.32,5,5,0
59,3,20.0,43.93,28.06,8.06,28.06,8.06,5,5,0
60,1,20.0,47.31,20.76,0.76,20.76,0.76,17,17,0
60,2,20.0,41.42,20.07,0.07,20.07,0.07,17,17,0
60,3,20.0,47.31,21.8,1.8,21.8,1.8,17,17,0
61,1,20.0,40.72,40.72,20.72,16.9,-3.1,0,1,1
61,2,20.0,47.39,47.39,27.39,38.65,18.65,0,1,0
61,3,20.0,38.73,38.73,18.73,10.52,-9.48,0,1,1
62,1,20.0,38.81,21.04,1.04,21.04,1.04,2,2,0
62,2,20.0,40.21,22.2,2.2,22.2,2.2,2,2,0
62,3,20.0,38.76,23.25,3.25,23.25,3.25,2,2,0
63,1,20.0,46.46,22.79,2.79,17.16,-2.84,3,11,1
63,2,20.0,42.65,24.19,4.19,18.59,-1.41,3,11,1
63,3,20.0,39.91,20.59,0.59,14.99,-5.01,3,11,1
64,1,20.0,45.99,36.7,16.7,31.08,11.08,1,4,0
64,2,20.0,42.98,22.13,2.13,16.13,-3.87,1,4,1
64,3,20.0,44.53,33.11,13.11,27.33,7.33,1,4,0
65,1,20.0,46.84,28.39,8.39,29.17,9.17,6,5,0
65,2,20.0,43.81,20.85,0.85,21.63,1.63,6,5,0
65,3,20.0,42.17,20.05,0.05,20.83,0.83,6,5,0
66,1,20.0,39.71,21.26,1.26,21.26,1.26,2,2,0
66,2,20.0,45.23,28.78,8.78,28.78,8.78,2,2,0
66,3,20.0,40.36,23.62,3.62,23.62,3.62,2,2,0
67,1,20.0,38.02,38.02,18.02,27.77,7.77,0,1,0
67,2,20.0,42.96,42.96,22.96,33.57,13.57,0,1,0
67,3,20.0,40.69,40.69,20.69,13.85,-6.15,0,1,1
68,1,20.0,40.35,40.35,20.35,18.99,-1.01,0,1,1
68,2,20.0,46.29,46.29,26.29,35.39,15.39,0,1,0
68,3,20.0,45.98,45.98,25.98,29.25,9.25,0,1,0
69,1,20.0,39.95,20.98,0.98,25.64,5.64,3,1,0
69,2,20.0,40.15,20.85,0.85,25.52,5.52,3,1,0
69,3,20.0,46.34,30.19,10.19,34.75,14.75,3,1,0
70,1,20.0,47.2,37.29,17.29,27.3,7.3,1,11,0
70,2,20.0,38.23,22.78,2.78,12.48,-7.52,1,11,1
70,3,20.0,43.12,27.17,7.17,16.86,-3.14,1,11,1
71,1,20.0,39.87,22.76,2.76,22.76,2.76,1,1,0
71,2,20.0,44.94,33.11,13.11,33.11,13.11,1,1,0
71,3,20.0,45.58,29.66,9.66,29.66,9.66,1,1,0
72,1,20.0,42.92,42.92,22.92,27.48,7.48,0,1,0
72,2,20.0,41.84,41.84,21.84,18.99,-1.01,0,1,1
72,3,20.0,41.52,41.52,21.52,24.9,4.9,0,1,0
73,1,20.0,44.86,25.06,5.06,30.94,10.94,4,1,0
73,2,20.0,47.42,32.2,12.2,37.85,17.85,4,1,0
73,3,20.0,41.31,20.31,0.31,26.23,6.23,4,1,0
74,1,20.0,46.63,26.84,6.84,26.43,6.43,10,11,0
74,2,20.0,43.36,20.4,0.4,19.99,-0.01,10,11,1
74,3,20.0,42.73,22.04,2.04,21.63,1.63,10,11,0
75,1,20.0,42.15,42.15,22.15,32.17,12.17,0,1,0
75,2,20.0,42.08,42.08,22.08,12.82,-7.18,0,1,1
75,3,20.0,40.36,40.36,20.36,26.36,6.36,0,1,0
76,1,20.0,47.97,33.23,13.23,36.1,16.1,2,1,0
76,2,20.0,43.27,22.47,2.47,25.44,5.44,2,1,0
76,3,20.0,39.89,21.69,1.69,24.63,4.63,2,1,0
77,1,20.0,42.33,42.33,22.33,32.82,12.82,0,1,0
77,2,20.0,39.06,39.06,19.06,13.65,-6.35,0,1,1
77,3,20.0,42.75,42.75,22.75,20.67,0.67,0,1,0
78,1,20.0,44.5,44.5,24.5,34.09,14.09,0,1,0
78,2,20.0,44.81,44.81,24.81,31.1,11.1,0,1,0
78,3,20.0,44.16,44.16,24.16,19.69,-0.31,0,1,1
79,1,20.0,42.86,42.86,22.86,18.58,-1.42,0,1,1
79,2,20.0,43.87,43.87,23.87,30.65,10.65,0,1,0
79,3,20.0,41.16,41.16,21.16,29.92,9.92,0,1,0
80,1,20.0,42.48,26.8,6.8,26.8,6.8,6,6,0
80,2,20.0,41.66,21.94,1.94,21.94,1.94,6,6,0
80,3,20.0,42.37,20.3,0.3,20.3,0.3,6,6,0
81,1,20.0,47.76,32.5,12.5,25.21,5.21,2,11,0
81,2,20.0,45.86,29.61,9.61,22.29,2.29,2,11,0
81,3,20.0,42.01,20.68,0.68,13.3,-6.7,2,11,1
82,1,20.0,47.8,47.8,27.8,31.62,11.62,0,1,0
82,2,20.0,41.42,41.42,21.42,19.98,-0.02,0,1,1
82,3,20.0,45.12,45.12,25.12,29.5,9.5,0,1,0
83,1,20.0,46.22,20.57,0.57,23.56,3.56,6,3,0
83,2,20.0,46.37,29.01,9.01,31.94,11.94,6,3,0
83,3,20.0,41.91,24.08,4.08,27.02,7.02,6,3,0
84,1,20.0,41.24,22.97,2.97,22.97,2.97,1,1,0
84,2,20.0,45.27,30.13,10.13,30.13,10.13,1,1,0
84,3,20.0,47.5,36.68,16.68,36.68,16.68,1,1,0
85,1,20.0,44.06,44.06,24.06,18.37,-1.63,0,1,1
85,2,20.0,42.6,42.6,22.6,25.58,5.58,0,1,0
85,3,20.0,43.29,43.29,23.29,-23.69,-43.69,0,1,1
86,1,20.0,41.59,20.85,0.85,22.09,2.09,4,3,0
86,2,20.0,43.37,27.4,7.4,28.62,8.62,4,3,0
86,3,20.0,38.24,23.15,3.15,24.35,4.35,4,3,0
87,1,20.0,40.64,40.64,20.64,14.94,-5.06,0,1,1
87,2,20.0,42.89,42.89,22.89,28.52,8.52,0,1,0
87,3,20.0,44.95,44.95,24.95,34.84,14.84,0,1,0
88,1,20.0,46.12,21.77,1.77,23.01,3.01,4,3,0
88,2,20.0,43.7,28.9,8.9,30.11,10.11,4,3,0
88,3,20.0,44.09,20.74,0.74,21.98,1.98,4,3,0
89,1,20.0,39.71,39.71,19.71,30.98,10.98,0,1,0
89,2,20.0,41.55,41.55,21.55,3.59,-16.41,0,1,1
89,3,20.0,45.06,45.06,25.06,31.1,11.1,0,1,0
90,1,20.0,43.83,22.85,2.85,24.08,4.08,4,3,0
90,2,20.0,38.95,24.12,4.12,25.32,5.32,4,3,0
90,3,20.0,38.44,20.79,0.79,22.01,2.01,4,3,0
91,1,20.0,41.23,22.15,2.15,21.37,1.37,5,6,0
91,2,20.0,42.67,22.96,2.96,22.17,2.17,5,6,0
91,3,20.0,40.88,20.49,0.49,19.71,-0.29,5,6,1
92,1,20.0,42.69,22.0,2.0,25.63,5.63,7,3,0
92,2,20.0,43.11,22.83,2.83,26.46,6.46,7,3,0
92,3,20.0,41.12,20.24,0.24,23.87,3.87,7,3,0
93,1,20.0,45.89,29.09,9.09,29.09,9.09,2,2,0
93,2,20.0,46.93,24.04,4.04,24.04,4.04,2,2,0
93,3,20.0,40.24,21.63,1.63,21.63,1.63,2,2,0
94,1,20.0,42.56,27.37,7.37,27.37,7.37,1,1,0
94,2,20.0,41.98,22.74,2.74,22.74,2.74,1,1,0
94,3,20.0,43.53,32.55,12.55,32.55,12.55,1,1,0
95,1,20.0,47.9,31.89,11.89,31.89,11.89,5,5,0
95,2,20.0,38.75,20.39,0.39,20.39,0.39,5,5,0
95,3,20.0,47.93,27.02,7.02,27.02,7.02,5,5,0
96,1,20.0,42.65,42.65,22.65,28.69,8.69,0,1,0
96,2,20.0,47.0,47.0,27.0,20.72,0.72,0,1,0
96,3,20.0,44.74,44.74,24.74,17.89,-2.11,0,1,1
97,1,20.0,41.34,23.65,3.65,13.31,-6.69,1,11,1
97,2,20.0,47.58,35.39,15.39,25.22,5.22,1,11,0
97,3,20.0,43.59,22.3,2.3,11.92,-8.08,1,11,1
98,1,20.0,39.62,39.62,19.62,3.61,-16.39,0,1,1
98,2,20.0,42.73,42.73,22.73,25.88,5.88,0,1,0
98,3,20.0,47.58,47.58,27.58,32.51,12.51,0,1,0
99,1,20.0,45.15,32.72,12.72,32.72,12.72,1,1,0
99,2,20.0,39.85,30.66,10.66,30.66,10.66,1,1,0
99,3,20.0,42.95,22.8,2.8,22.8,2.8,1,1,0
100,1,20.0,44.7,25.9,5.9,26.31,6.31,11,10,0
100,2,20.0,44.27,20.19,0.19,20.61,0.61,11,10,0
100,3,20.0,41.83,21.96,1.96,22.36,2.36,11,10,0
